Title,First Director Name,First Director Gender,First Director Age When the Film Was Released,Second Director Name,Second Director Gender,Second Director Age When the Film Was Released,First Writer Name,First Writer Gender,First Writer Age When the Film Was Released,Second Writer Name,Second Writer Gender,Second Writer Age When the Film Was Released,Third Writer Name,Third Writer Gender,Third Writer Age When the Film Was Released,Fourth Writer Name,Fourth Writer Gender,Fourth Writer Age When the Film Was Released,Fifth Writer Name,Fifth Writer Gender,FIfth Writer Age When the Film Was Released,Sixth Writer Name,Sixth Writer Gender,Sixth Writer Age When Film Was Released
Kingsman: The Golden Circle,Matthew Vaughn,Male,46,,,,Jane Goldman,Female,47,Matthew Vaughn,Male,46,,,,,,,,,,,,
Logan,James Mangold,Male,53,,,,James Mangold,Male,53,Scott Frank,Male,56,Michael Green,Male,49,,,,,,,,,
Logan Lucky,Steven Soderbergh,Male,54,,,,Rebecca Blunt,Female,?,,,,,,,,,,,,,,,
Molly's Game,Aaron Sorkin,Male,56,Rodney Rothman,Male,43,Aaron Sorkin,Male,56,,,,,,,,,,,,,,,
Mother!,Darren Aronofsky,Male,48,,,,Darren Aronofsky,Male,48,,,,,,,,,,,,,,,
Spider-Man: Homecoming,Jon Watts,Male,36,,,,Jonathan Goldstein,Male,?,John Francis Daley,Male,?,Jon Watts,Male,?,Christopher Ford,Male,?,Erik Sommers,Male,?,,,
The Big Sick,Michael Showalter,Male,47,,,,Emily V. Gordon,Female,38,Kumail Nanjiani,Male,39,,,,,,,,,,,,
The Fate of the Furious,F. Gary Gray,Male,47,,,,Chris Morgan,Male,?,,,,,,,,,,,,,,,
The Hitman's Bodyguard,Patrick Hughes,Male,39,,,,Tom O'Connor,Male,?,,,,,,,,,,,,,,,
The Killing of a Sacred Deer,Yorgos Lanthimos,Male,44,,,,Yorgos Lanthimos,Male,44,Efthymis Filippou,Male,?,,,,,,,,,,,,
The Mummy,Alex Kurtzman,Male,43,,,,David Koepp,Male,54,Christopher McQuarrie,Male,49,Dylan Kussman,Male,?,,,,,,,,,
Transformers: The Last Knight,Michael Bay,Male,52,,,,Art Marcum,Male,?,Matt Holloway,Male,?,Ken Nolan,,,,,,,,,,,
War for the Planet of the Apes,Matt Reeves,Male,51,,,,Mark Bomback,Male,?,Matt Reeves,Male,?,,,,,,,,,,,,
Wind River,Taylor Sheridan,Male,46,,,,Taylor Sheridan,Male,46,,,,,,,,,,,,,,,
Wonder,Stephen Chbosky,Male,47,,,,Stephen Chbosky,Male,47,Steve Conrad,Male,?,Jack Thorne,Male,?,,,,,,,,,
A Quiet Place,John Krasinski,Male,38,,,,Bryan Woods,Male,?,Scott Beck,Male,?,John Krasinski,Male,38,,,,,,,,,
A Star Is Born,Bradley Cooper,Male,43,,,,Eric Roth,Male,73,Bradley Cooper,Male,43,Will Fetters,Male,?,,,,,,,,,
Annihilation,Alex Garland,Male,47,,,,Alex Garland,Male,47,,,,,,,,,,,,,,,
Ant-Man and the Wasp,Peyton Reed,Male,54,,,,Chris McKenna,Male,?,Erik Sommers,Male,?,Paul Rudd,Male,49,Andrew Barrer,Male,?,Gabriel Ferrari,Male,?,,,
Aquaman,James Wan,Male,41,,,,David Leslie Johnson-McGoldrick,Male,?,Will Beall,Male,?,,,,,,,,,,,,
Avengers: Infinity War,Anthony Russo,Male,48,Joe Russo,Male,47,Christopher Markus,Male,?,Stephen McFeely,Male,?,,,,,,,,,,,,
Bird Box,Susanne Bier,Female,58,,,,Eric Heisserer,Male,48,,,,,,,,,,,,,,,
Crazy Rich Asians,Jon M. Chu,Male,38,,,,Peter Chiarelli,Male,?,Adele Lim,Female,?,,,,,,,,,,,,
Deadpool 2,David Leitch,Male,47,,,,Rhett Reese,Male,48,Paul Wernick,Male,52,Ryan Reynolds,Male,41,,,,,,,,,
Game Night,John Francis Daley,Male,32,Jonathan Goldstein,Male,49,Mark Perez,Male,?,,,,,,,,,,,,,,,
Hereditary,Ari Aster,Male,31,,,,Ari Aster,Male,31,,,,,,,,,,,,,,,
Isle of Dogs,Wes Anderson,Male,48,,,,Wes Anderson,Male,48,Roman Coppola,Male,52,Jason Schwartzman,Male,37,Kunichi Nomura,Male,?,,,,,,
Jurassic World: Fallen Kingdom,J.A. Bayona,Male,43,,,,Derek Connolly,Male,?,Colin Trevorrow,Male,41,,,,,,,,,,,,
Mission: Impossible - Fallout,Christopher McQuarrie,Male,49,,,,Christopher McQuarrie,Male,50,,,,,,,,,,,,,,,
Ocean's 8,Gary Ross,Male,61,,,,Gary Ross,Male,61,Olivia Milch,Female,?,,,,,,,,,,,,
Rampage,Brad Peyton,Male,39,,,,Ryan Engle,Male,?,Carlton Cuse,Male,?,Ryan J. Condal,Male,?,Adam Sztykiel,Male,?,,,,,,
Ready Player One,Stephen Spielberg,Male,71,,,,Zak Penn,Male,50,Ernest Cline,Male,46,,,,,,,,,,,,
Red Sparrow,Francis Lawrence,Male,46,,,,Justin Haythe,Male,44,,,,,,,,,,,,,,,
Searching,Aneesh Chaganty,Male,27,,,,Aneesh Chaganty,Male,?,Sev Ohanian,Male,?,,,,,,,,,,,,
Spider-Man: Into the Spider-Verse,Bob Persichetti,Male,47,Peter Ramsey,Male,56,Phil Lord,Male,?,Rodney Rothman,Male,?,,,,,,,,,,,,
The Meg,Jon Turteltaub,Male,55,,,,Dean Georgaris,Male,?,Jon Hoeber,Male,?,Erich Hoeber,Male,?,,,,,,,,,
Tomb Raider,Roar Uthaug,Male,44,,,,Geneva Robertson-Dworet,Female,?,Alastair Siddons,Male,?,,,,,,,,,,,,
Upgrade,Leigh Whannell,Male,41,,,,Leigh Whannell,Male,41,,,,,,,,,,,,,,,
Venom,Ruben Fleischer,Male,43,,,,Jeff Pinkner,Male,?,Scott Rosenber,Male,?,Kelly Marcel,Female,44,,,,,,,,,
6 Underground,Michael Bay,Male,54,,,,Paul Wernic,Male,54,Rhett Reese,Male,50,,,,,,,,,,,,
Avengers: Endgame,Anthony Russo,Male,49,Joe Russo,Male,48,Christopher Markus,Male,?,Stephen McFeely,Male,?,,,,,,,,,,,,
Doctor Sleep,Mike Flanagan,Male,41,,,,Mike Flanagan,Male,41,,,,,,,,,,,,,,,
El Camino: A Breaking Bad Movie,Vince Gilligan,Male,52,,,,Vince Gilligan,Male,52,,,,,,,,,,,,,,,
El Hoyo (The Platform),Galder Gaztelu-Urrutia,Male,45,,,,David Desola,Male,?,Pedro Rivero,Male,?,,,,,,,,,,,,
Fast & Furious Presents: Hobbs & Shaw,David Leitch,Male,48,,,,Chris Morgan,Male,?,Drew Pearce,Male,?,,,,,,,,,,,,
Gisaengchung (Parasite),Bong Joon-ho,Male,49,,,,Bong Joon-ho,Male,49,Han Jin-won,Male,?,,,,,,,,,,,,
Glass,M. Night Shyamalan,Male,48,,,,M. Night Shyamalan,Male,48,,,,,,,,,,,,,,,
Godzilla: King of the Monsters,Michael Dougherty,Male,44,,,,Michael Dougherty,Male,?,Zach Shields,Male,?,,,,,,,,,,,,
It Chapter Two,Andy Muschietti,Male,46,,,,Gary Dauberman,Male,47,,,,,,,,,,,,,,,
John Wick: Chapter 3 - Parabellum,Chad Stahelski,Male,50,,,,Derek Kolstad,Male,?,Shay Hatten,Male,?,Chris Collins,Male,?,Marc Abrams,Male,?,,,,,,
Jumanji: The Next Level,Jake Kasdan,Male,45,,,,Jake Kasdan,Male,?,Jeff Pinkner,Male,?,Scott Rosenberg,Male,?,,,,,,,,,
Knives Out,Rian Johnson,Male,45,,,,Rian Johnson,Male,45,,,,,,,,,,,,,,,
Marriage Story,Noah Baumbach,Male,50,,,,Noah Baumbach,Male,50,,,,,,,,,,,,,,,
Midsommar,Ari Aster,Male,33,,,,Ari Aster,Male,33,,,,,,,,,,,,,,,
Pokemon: Detective Pikachu,Rob Letterman,Male,48,,,,Dan Hernandez,Male,?,Benji Samit,Male,?,Rob Letterman,Male,?,Derek Connolly,Male,?,,,,,,
Ready or Not,Matt Bettinelli-Olpin,Male,41,Tyler Gillett,Male,37,Guy Busick,Male,43,R. Christopher Murphy,Male,?,,,,,,,,,,,,
Shazam!,David F. Sandberg,Male,38,,,,Henry Gayden,Male,?,Darren Lemke,Male,?,,,,,,,,,,,,
Spider-Man: Far from Home,Jon Watts,Male,38,,,,Chris McKenna,Male,?,Erik Sommers,Male,?,,,,,,,,,,,,
Terminator: Dark Fate,Tim Miller,Male,55,,,,David S. Goyer,Male,53,Justin Rhodes,Male,?,Billy Ray,Male,?,,,,,,,,,
The Gentlemen,Guy Ritchie,Male,51,,,,Guy Ritchie,Male,51,,,,,,,,,,,,,,,
Toy Story 4,Josh Cooley,Male,40,,,,Andrew Stanton,Male,53,Stephany Folsom,Female,?,,,,,,,,,,,,
Uncut Gems,Benny Safdie,Male,33,Josh Safdie,Male,35,Ronald Bronstein,Male,?,Josh Safdie,Male,?,Benny Safdie,Male,?,,,,,,,,,
Us,Jordan Peele,Male,40,,,,Jordan Peele,Male,40,,,,,,,,,,,,,,,
Zombieland: Double Tap,Ruben Fleischer,Male,44,,,,Rhett Reese,Male,49,Paul Wernick,Male,54,Dave Callaham,Male,?,,,,,,,,,
365 dni,Barbara Białowąs,Female,41,Tomasz Mandes,Male,43,Tomasz Klimala,Male,?,Barbara Białowąs,Female,41,Tomasz Mandes,Male,?,Blanka Lipińska,Female,?,,,,,,
A Quiet Place Part II,John Krasinski,Male,40,,,,John Krasinski,Male,40,,,,,,,,,,,,,,,
Bad Boys for Life,Adil El Arbi,Male,31,Bilall Fallah,Male,33,Chris Bremner,Male,?,Peter Craig,Male,?,Joe Carnahan,Male,?,,,,,,,,,
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Cathy Yan,Female,33,,,,Christina Hodson,Female,?,,,,,,,,,,,,,,,
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Jason Woliner,Male,40,,,,Sacha Baron Cohen,Male,?,Anthony Hines,Male,?,Dan Swimer,Male,?,Peter Baynham,Male,?,Erica Rivinoja,Female,?,Dan Mazer,Male,?
Dil Bechara,Mukesh Chhabra,Male,40,,,,Shashank Khaitan,Male,?,Suprotim Sengupta,Male,?,,,,,,,,,,,,
Druk (Another Round),Thomas Vinterberg,Male,51,,,,Thomas Vinterberg,Male,51,Tobias Lindholm,Male,43,,,,,,,,,,,,
Eurovision Song Contest: The Story of Fire Saga,David Dobkin,Male,51,,,,Will Ferrell,Male,52,Andrew Steele,Male,?,,,,,,,,,,,,
Extraction,Sam Hargrave,Male,50,,,,Joe Russo,Male,48,,,,,,,,,,,,,,,
Greenland,Ric Roman Waugh,Male,52,,,,Chris Sparling,Male,?,,,,,,,,,,,,,,,
I Care a Lot,J Blakeson,Male,43,,,,J Blakeson,Male,43,,,,,,,,,,,,,,,
Love and Monsters,Michael Matthews,Male,No DOB available,,,,Brian Duffield,Male,?,Matthew Robinson,Male,?,,,,,,,,,,,,
Nomadland,Chloé Zhao,Female,38,,,,Chloé Zhao,Female,38,,,,,,,,,,,,,,,
Palm Springs,Max Barbakow,Male,No DOB available,,,,Andy Siara,Male,?,,,,,,,,,,,,,,,
Project Power,Henry Joost,Male,38,Ariel Schulman,Male,38,Mattson Tomlin,Male,?,,,,,,,,,,,,,,,
Promising Young Woman,Emerald Fennell,Female,35,,,,Emerald Fennell,Female,35,,,,,,,,,,,,,,,
Sadak 2,Mahesh Bhatt,Male,71,,,,Mahesh Bhatt,Male,71,Suhrita Sengupta,Female,?,,,,,,,,,,,,
Sonic the Hedgehog,Jeff Fowler,Male,41,,,,Pat Casey,Male,?,Josh Miller,Male,?,,,,,,,,,,,,
Soorarai Pottru,Sudha Kongara,Female,49,,,,Sudha Kongara,Female,?,Shalini Ushadevi,Female,?,Aalif Surti,Male,?,Ganeshaa,Male,?,,,,,,
Soul,Pete Docter,Male,52,,,,Pete Docter,Male,52,Mike Jones,Male,?,Kemp Powers,Male,?,,,,,,,,,
Tenet,Christopher Nolan,Male,50,,,,Christopher Nolan,Male,50,,,,,,,,,,,,,,,
The Father,Florian Zeller,Male,40,,,,Christopher Hampton,Male,75,Florian Zeller,Male,40,,,,,,,,,,,,
The Hunt,Craig Zobel,Male,44,,,,Nick Cuse,Male,?,Damon Lindelof,Male,?,,,,,,,,,,,,
The Invisible Man,Leigh Whannell,Male,43,,,,Leigh Whannell,Male,43,,,,,,,,,,,,,,,
The Old Guard,Gina Prince-Bythewood,Female,51,,,,Greg Rucka,Male,50,,,,,,,,,,,,,,,
Army of the Dead,Zack Snyder,Male,55,,,,Zack Snyder,Male,55,Shay Hatten,Male,?,Joby Harold,Male,?,,,,,,,,,
Black Widow,Cate Shortland,Female,52,,,,Eric Pearson,Male,?,,,,,,,,,,,,,,,
CODA,Sian Heder,Female,43,,,,Sian Heder,Female,43,,,,,,,,,,,,,,,
Don't Look Up,Adam McKay,Male,53,,,,Adam McKay,Male,53,David Sirota,Male,46,,,,,,,,,,,,
Eternals,Chloé Zhao,Female,39,,,,Chloé Zhao,Female,39,Patrick Burleigh,Male,?,Ryan Firpo,Male,?,Kaz Firpo,Male,?,,,,,,
F9,Justin Lin,Male,47,,,,Daniel Casey,Male,?,,,,,,,,,,,,,,,
